alg	isConv	finIter	finTol	stopCode	stopMessage
fc	TRUE	13	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
lourvain	TRUE	23	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
lec	TRUE	11	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
infomap	TRUE	8	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
sgG1	FALSE	50	1.49011611938477e-08	-1	Number of iterations has reached `maxiter' == 50.
sgG2	TRUE	12	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
sgG5	TRUE	9	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
wt	TRUE	8	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
fc_2	TRUE	9	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
lourvain_2	TRUE	30	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
sgG1_2	FALSE	50	1.49011611938477e-08	-1	Number of iterations has reached `maxiter' == 50.
Geodesicdiff	TRUE	8	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
Spectral	TRUE	11	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
Spectral_5	FALSE	50	1.49011611938477e-08	-1	Number of iterations has reached `maxiter' == 50.
Spectral_2.5	TRUE	18	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
Spectral_1.5	TRUE	14	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
Spectral_1.25	TRUE	11	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
Spectral_1	TRUE	12	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
Spectral_0.5	TRUE	9	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
Spectral_5_2	TRUE	28	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
Spectral_2.5_2	TRUE	17	1.49011611938477e-08	1	Relative error in the sum of squares is at most `ftol'.
