alg	a	sd_a	b	sd_b	c	sd_c	d	sd_d
fc	-0.000835661235109121	0.00164987195985221	0.403090672847155	0.020254880690605	-1.27524850822284	0.0797374371841015	1.32429372283066	0.0983166702729242
lourvain	-0.00644789186712716	0.00396646641597618	1.13954922050217	0.194606950077687	-1.04973144425629	0.0964073331468299	0.351239097308664	0.318548969721136
lec	-0.00379184444638973	0.00357644842253259	0.622249464843554	0.0192261913089728	-0.968563020481195	0.0537829595599074	2.4268622718301	0.0855846710305228
infomap	-0.0155856537768793	0.00433597820208819	0.993697689364877	0.00592705831202479	-0.96116341972001	0.0213939358281466	4.7624774068238	0.0249504907514443
sgG1	-0.00335163895183912	0.0076336123077167	51.2207996449991	741.660985508918	-0.415004574197962	0.0509438119017957	-10.370924855765	36.5343523163896
sgG2	0.0118695033383523	0.00345585175014675	1.1738733797547	0.0293279303161681	-0.89449904216447	0.0303646008042772	1.94927845952627	0.0693824051122143
sgG5	-0.00285168825381888	0.00216497607471223	1.01241968676143	0.00395281068586717	-1.38452823076017	0.0215494932940335	3.8212192018209	0.0126653993858797
wt	-0.155500435858007	0.0356212275024718	0.882007228561224	0.0239912175299578	-0.480279676749213	0.040526008406441	6.14079488305107	0.142919528571682
fc_2	-0.00634718897969571	0.0028569147719775	1.21009909043955	0.0274046405669864	-0.711021459860003	0.0181966553107115	1.91532978357339	0.0719944071516564
lourvain_2	-0.00833593127487863	0.00378043948309129	0.882311038422917	0.0237710655484493	-0.998348847767575	0.0446131835085959	2.20576076996525	0.0710039200103927
sgG1_2	-0.0461086564339211	0.0110963677521563	2.06433243631369	0.377626009486557	-0.368733658892155	0.0292869536032634	-0.666942262399725	0.851003393584713
Geodesicdiff	-0.00473295408854308	0.00341709578368247	0.896991178083651	0.0116577352261757	-0.862765583550928	0.02460680416647	3.17361132720674	0.0417628412405211
Spectral	-0.185349355362883	0.0441947696234286	0.915788425659752	0.0288525189085319	-0.444858840838759	0.0415175708935987	6.20232481630162	0.166037096371435
Spectral_5	-0.00133399721001505	0.00137020631064579	0.351794011626596	0.0529759721895092	-1.68075462336886	0.18573317526449	0.475773516680283	0.192353401282134
Spectral_2.5	-0.00105382391374003	0.00162275767299944	0.869434072802259	0.060578493933676	-1.35797930470692	0.0652184445685254	0.524722945235435	0.108189071357671
Spectral_1.5	-0.0059502840945793	0.00424045931113788	0.919879707568828	0.0139264571338718	-1.70994089168668	0.0806949793837548	2.42613829775087	0.0336129264117775
Spectral_1.25	-0.00512729187277464	0.00338317613390863	0.914974039751953	0.00969411567360092	-1.7659781642013	0.0642362853617627	2.60071469520441	0.024424517031946
Spectral_1	-0.00618402035694894	0.00258994913805573	0.949166875366699	0.00715558439653323	-1.37290467461102	0.0321482002491477	2.97533520791181	0.0202679808222583
Spectral_0.5	-0.0108171872638813	0.004234380017346	1.08347510617585	0.0226835387824197	-0.903094973665728	0.0328366200190235	2.49716203454079	0.0604445100018274
Spectral_5_2	-0.000765103393898822	0.0017723649682049	0.354287701391754	0.00713207597615383	-3.88210476698146	0.313243825843065	1.38066860411608	0.024071420364021
Spectral_2.5_2	0.00425992988359641	0.00170048851199058	1.15208217372213	0.0461958127356262	-1.42595446114507	0.0479843397552577	0.702393703851484	0.0628376702833729
